assembly_accession	species	subsp	strain
GCF_008124205.1	Escherichia coli		O16:H48 PG20180063
GCF_008124225.1	Escherichia coli		O16:H48 PG20180062
GCF_008124245.1	Escherichia coli		O16:H48 PG20180061
GCF_008124265.1	Escherichia coli		O16:H48 PG20180059
GCF_008124285.1	Escherichia coli		O16:H48 PG20180060
GCF_008124305.1	Escherichia coli		O16:H48 PG20180054
GCF_008124325.1	Escherichia coli		O16:H48 PG20180058
GCF_008124345.1	Escherichia coli		O16:H48 PG20180053
GCF_008124365.1	Escherichia coli		O16:H48 PG20180052
GCF_008124385.1	Escherichia coli		O16:H48 PG20180050
GCF_008124405.1	Escherichia coli		O16:H48 CV601gfp
GCF_008124005.1	Escherichia coli		O80:H26 EC-107
GCF_016803935.1	Escherichia coli		O84:H7 Trh52
GCF_015697215.1	Escherichia coli		O150:H6 FEX669
GCF_014770655.1	Escherichia coli		O15:H12 2273-PO3
GCF_014770895.1	Escherichia coli		O18ac:H14 873.10
GCF_014771055.1	Escherichia coli		O68:H12 97.3
GCF_014771275.1	Escherichia coli		O19:H7 730V1
GCF_015571795.1	Escherichia coli		O100:H21 Res13-Lact-ER07-18
GCF_015571915.1	Escherichia coli		O112ab:H8 Res13-Lact-EA06-22
GCF_015571895.1	Escherichia coli		O152:H23 Res13-Lact-ER01-35
GCF_015571595.1	Escherichia coli		O167:H26 Res13-Lact-PER13-34
GCF_015571715.1	Escherichia coli		O20:H12 Res13-Lact-PEB17-18
GCF_015571675.1	Escherichia coli		O9:H10 Res13-Lact-PEB21-38-A
GCF_015571695.1	Escherichia coli		O9:H10 Res13-Lact-PEB20-37-A
GCF_017570585.1	Escherichia coli		O7:H4 MIN14
GCF_017570605.1	Escherichia coli		O89m:H10 MIN12
GCF_017570625.1	Escherichia coli		O89m:H9 MIN11
GCF_017570645.1	Escherichia coli		O126:H45 MIN10
GCF_017570665.1	Escherichia coli		O176:H45 MIN9
GCF_017570685.1	Escherichia coli		H20 MIN6
GCF_017160815.1	Escherichia coli		O1:HNT DR162-CEF
GCF_018085225.1	Escherichia coli		O128ac:H12 AW1.7
