assembly_accession	origin	terminus	length
GCF_002754095.1	1050	1147330	2353520
GCF_002754115.1	841250	1990000	2476166
GCF_002754135.1	1112900	12980	2410673
GCF_002754155.1	1267410	214940	2254720
GCF_002892555.1	2207470	988620	2334880
GCF_002892595.1	160	1243460	2343999
GCF_018141745.1	15700	1337460	2411481
GCF_018141765.1	15700	1337440	2411440
GCF_018141805.1	2145350	1032090	2375739
GCF_018389405.1	2094730	451380	3439340
GCF_900637325.1	1033300	2149630	2150449
GCF_002127965.1	263990	1572660	2468871
GCF_007833235.1	22490	1177470	2467769
GCF_013137915.1	44280	1344140	2421837
GCF_902381645.1	30150	1074600	2268272
GCF_002586945.1	1641690	241920	2868932
GCF_002734145.1	1789220	230040	3110044
GCF_003293635.1	1539860	196860	2833887
GCF_003312465.1	42660	1432580	2970937
GCF_902388275.1	1539860	196860	2833887
GCF_002356455.1	21580	1904930	3965155
GCF_900637705.1	3067170	1422310	3302398
GCF_003812825.1	1223900	16890	2678402
GCF_003019755.1	2163950	773220	2541084
GCF_003019675.1	1360840	3011680	3537675
GCF_900478315.1	3357480	1460650	3539037
GCF_014076555.1	2860	1514500	2881049
GCF_003390435.1	1388430	742100	1389350
GCF_004801255.1	7310	1633190	3251440
GCF_017815575.1	14270	1846840	3544025
GCF_000195755.1	3532830	1736320	3570858
GCF_000021385.1	2591170	508780	4040304
GCF_001854245.1	2440	2331980	4455399
GCF_002009335.2	2440	2288420	4455976
GCF_900116045.1	1925540	627650	2807531
GCF_003006415.1	1058110	2390100	2566193
GCF_013462805.1	2880	1690980	3209933
GCF_002028405.1	1778000	23230	3301026
GCF_002879995.1	11390	673750	1314789
GCF_012790675.1	13910	631160	1196811
GCF_002374845.2	1374210	683220	1483853
GCF_002379145.2	1372640	681810	1482279
GCF_007971685.1	713930	138910	1267781
GCF_007972595.1	714450	136260	1269137
GCF_007972745.1	713910	136350	1267436
GCF_009732755.1	666880	1295120	1352354
GCF_014107455.1	1125970	587660	1139744
GCF_014107475.1	974000	432920	1185354
GCF_017604245.1	1325590	511670	1538351
GCF_000691605.1	2097500	3828320	3830427
GCF_002208115.1	3766620	1866390	3769537
GCF_002872415.1	3807470	1901950	3810309
GCF_006874605.1	2830	1928280	3880871
GCF_001040945.1	5235110	2705330	5509723
GCF_001721865.1	12870	2667670	5418668
GCF_006378125.1	5286710	2642470	5349998
GCF_000750195.1	1393090	3321820	3824196
GCF_001941605.1	1530660	3574580	3952957
GCF_008329825.1	833100	3668650	5855069
GCF_001534645.1	3035220	1208940	3321600
GCF_001580475.1	1758050	3251870	3261404
GCF_001641185.1	1535890	12100	3329120
GCF_001677395.1	2240	1514550	3171081
GCF_001936395.1	1555880	11610	3032078
GCF_002951025.1	1763720	3262930	3272519
GCF_014844255.1	1720600	21790	3221312
GCF_014844295.1	1720610	21790	3221278
GCF_014844315.1	1720600	22040	3221284
GCF_014844335.1	1720610	21790	3221316
GCF_014844355.1	1720600	21780	3221291
GCF_014844375.1	1720610	21790	3221309
GCF_014844395.1	1720600	21790	3221300
GCF_014844415.1	1720600	21770	3221299
GCF_014844435.1	1720590	21780	3221281
GCF_014844455.1	1720610	21770	3221303
GCF_014844475.1	1720610	21790	3221306
GCF_014844495.1	1720600	21760	3221293
GCF_014844515.1	1720590	21780	3221290
GCF_014844535.1	1720610	21770	3221305
GCF_014844555.1	1788850	3261110	3261133
GCF_014844575.1	1758010	3251640	3261175
GCF_014844595.1	1758150	3251540	3261110
GCF_014844615.1	1758160	3251710	3261248
GCF_014844635.1	1758010	3251570	3261108
GCF_014844655.1	1758010	3247010	3256546
GCF_014844675.1	1758010	3251760	3261297
GCF_014844695.1	1758010	3251540	3261078
GCF_014844715.1	1758050	3251780	3261315
GCF_014844735.1	1758160	3251570	3261159
GCF_014844755.1	1788810	3261140	3261163
GCF_014844775.1	1758180	3251700	3261270
GCF_017132675.1	1598880	10540	3031912
GCF_900187125.1	4644090	2399370	4653048
GCF_900637795.1	2037660	922720	2287133
GCF_002302415.1	1510110	186530	2838633
GCF_002302395.1	1973330	288710	3074746
GCF_002302495.1	1341420	2829870	2855148
GCF_002302595.1	1663760	3073240	3098616
GCF_900638125.1	1527950	175080	2933908
GCF_002356555.2	2832140	1388800	2834560
GCF_014622665.1	3459940	1493110	3616128
GCF_001576595.1	3027820	1433860	3188042
GCF_001685625.1	3028630	1436050	3188543
GCF_002706325.1	3028290	1436040	3188516
GCF_003429265.1	1700	1372600	3014714
GCF_003846365.1	159700	1797540	3225436
GCF_003846385.1	159730	1786830	3231253
GCF_003846405.1	159580	1802460	3240155
GCF_003846425.1	3085110	1479150	3264454
GCF_005311585.1	1700	1574550	3263112
GCF_012647365.1	4890	1440510	3190151
GCF_003071405.1	2355680	404870	3548948
GCF_003031245.1	333800	3043300	5371816
GCF_003031265.1	340000	3070810	5269926
GCF_007005445.1	4718600	2025370	5042906
GCF_013415845.1	333230	3028000	5322414
GCF_016584445.1	335130	3136720	5448862
GCF_001402875.1	6330	1794450	3724841
GCF_001548155.2	1678160	50	3726627
GCF_008586845.1	2006180	1056810	2017051
GCF_001663175.1	963800	2647780	3090363
GCF_000012525.1	124940	1603600	2695903
GCF_000756415.2	1830	1617460	3186149
GCF_000756435.2	1920	1572370	3062470
GCF_001514395.1	1830	1589820	3167361
GCF_001534725.1	2210	1634270	3205229
GCF_001746795.1	2635900	1072460	3187887
GCF_001932595.1	1133140	2703570	3042741
GCF_001932735.1	1263770	2834190	3042830
GCF_001932755.1	2103490	634790	3054745
GCF_001932775.1	2100580	631820	3046533
GCF_001932795.1	1968540	289220	3141542
GCF_001932815.1	1980810	403800	3192742
GCF_001932835.1	1981050	404030	3193374
GCF_001932855.1	2635020	1063080	3187881
GCF_001932875.1	746120	2318960	3186791
GCF_001932895.1	1830	1617460	3186151
GCF_001932915.1	1980860	403850	3192856
GCF_001932935.1	2635900	1072440	3187888
GCF_003850185.1	3049750	1302300	3178181
GCF_009708235.1	2991490	1281000	3116276
GCF_009708255.1	3014440	1287270	3142869
GCF_009708275.1	65480	1782150	3131093
GCF_009708295.1	3163320	1485670	3165215
GCF_009708315.1	65480	1782160	3130307
GCF_009708335.1	3144840	1562710	3146686
GCF_009708355.1	3197900	1579280	3198778
GCF_009708435.1	34370	1818090	3337236
GCF_009708575.1	3199460	1565770	3201212
GCF_009708695.1	65590	1788590	3149273
GCF_009708715.1	3193870	1567360	3195621
GCF_009708735.1	3150280	1471780	3152175
GCF_009708755.1	3218620	1583000	3220407
GCF_009708775.1	65480	1791300	3141916
GCF_009708795.1	3014450	1278730	3160466
GCF_009708815.1	34370	1627190	3146909
GCF_009708835.1	34370	1625210	3158635
GCF_009708855.1	34370	1628170	3147033
GCF_009708875.1	34370	1623020	3142147
GCF_009708895.1	2985530	1280870	3113959
GCF_009708915.1	3153420	1478790	3155351
GCF_009708935.1	3136770	1458250	3138668
GCF_009708955.1	65480	1804440	3162712
GCF_009708975.1	34370	1620710	3153564
GCF_009708995.1	34370	1620730	3139871
GCF_009709015.1	31890	1590710	3189955
GCF_009709035.1	3193710	1576670	3195565
GCF_009709055.1	3194670	1568210	3196457
GCF_009709075.1	3050730	1480240	3052624
GCF_009709095.1	3193100	1575970	3194859
GCF_009709115.1	3193090	1575950	3194930
GCF_009709135.1	3188490	1571110	3190249
GCF_009709155.1	3193360	1576250	3195216
GCF_009709175.1	3192920	1575930	3194760
GCF_009709195.1	3193270	1566600	3195023
GCF_009709215.1	3191130	1564730	3192883
GCF_009709235.1	3193350	1576230	3195206
GCF_009709255.1	3193380	1576250	3195235
GCF_009709275.1	3193210	1566600	3194963
GCF_009709295.1	3193050	1575970	3194906
GCF_009709315.1	3050720	1480270	3052649
GCF_009709335.1	3050770	1480310	3052697
GCF_009709355.1	3060350	1489920	3062282
GCF_009709375.1	3050730	1480240	3052624
GCF_009709395.1	3060430	1489950	3062326
GCF_009709415.1	34290	1618490	3126070
GCF_009709435.1	3184410	1568690	3186162
GCF_009709455.1	34370	1623020	3142986
GCF_009709475.1	3014700	1278990	3160732
GCF_009709495.1	36250	1684810	3317308
GCF_009709515.1	3539690	1651760	3541633
GCF_009709535.1	3573430	1613910	3575377
GCF_009724885.1	3193200	1575970	3194954
GCF_009724905.1	9190	1939920	3562064
GCF_010092545.1	3320	1626570	3194020
GCF_010092565.1	2130	1643310	3218154
GCF_010092585.1	3022950	1286710	3175218
GCF_012272975.1	1820	1674950	3275517
GCF_014622645.1	105490	1786250	3177257
GCF_002370415.1	235880	1335060	2090103
GCF_003255835.1	2090	1070380	2004569
GCF_003433375.1	1139870	138540	1894793
GCF_004102585.1	2090	1001730	1946833
GCF_004103675.1	31960	1155510	2057400
GCF_004194375.1	2280	1034160	1980926
GCF_007954745.1	933640	1772030	1777320
GCF_009913915.1	1698920	621840	1988249
GCF_009913935.1	1804780	730120	1973483
GCF_016127295.1	897640	1820970	2038391
GCF_018336555.1	2110	949250	1799572
GCF_001698145.1	821650	1610	1737502
GCF_007954605.1	679390	1483990	1781455
GCF_007954625.1	553200	1412340	1635644
GCF_007954665.1	703140	1579880	1790249
GCF_002966535.1	1340	1004090	1876981
GCF_003264795.1	809430	1636330	1826824
GCF_009728955.1	231970	1188540	1852479
GCF_013113695.1	1960	945730	1718702
GCF_900519455.1	1340	1004090	1876981
GCF_900519475.1	1340	948040	1834577
GCF_002386265.1	1646210	691210	1947910
GCF_015689215.1	874000	1989440	2029711
GCF_007954525.1	993940	199440	1590008
GCF_001767275.1	1418260	361540	2131361
GCF_001922325.1	1980	1057510	2096059
GCF_002173575.1	2014830	992190	2025714
GCF_002174215.1	2014830	992200	2025732
GCF_003957355.1	1980	1015480	1955616
GCF_004101585.1	2750	1036250	2001079
GCF_004102605.1	1847000	915030	1852892
GCF_004103635.1	1968760	952470	1970727
GCF_004355265.1	89780	1082760	2009598
GCF_006770685.1	2066390	1017890	2085679
GCF_009913875.1	726100	1706620	2015015
GCF_009913895.1	442310	1436930	2018117
GCF_010092385.1	733990	1758200	2035984
GCF_013127755.1	2033180	1016640	2044083
GCF_014906145.1	1980	1031600	2034522
GCF_016127815.1	1830550	740110	2068296
GCF_016128055.1	70680	1063650	2009583
GCF_016653595.1	1935090	951110	1941154
GCF_016726765.1	1234100	292100	1953377
GCF_001411765.2	246100	1086290	1739283
GCF_002202155.1	13260	870860	1757573
GCF_002982155.1	1082940	246070	1758362
GCF_003429405.1	1738610	879530	1752312
GCF_006770865.1	1960	908390	1732880
GCF_007923185.1	927870	1510	1842476
GCF_009791435.1	1960	997080	1831351
GCF_009913955.1	943320	118580	1756764
GCF_009913995.1	1090890	154000	1818149
GCF_009914015.1	1005310	70910	1818149
GCF_009914035.1	869270	1803670	1818150
GCF_009930955.1	1001030	116270	1707614
GCF_016028695.1	44400	941780	1740871
GCF_016126975.1	1746060	782530	1785764
GCF_016127775.1	822490	1667320	1717965
GCF_016128215.1	1691860	771010	1803065
GCF_016726885.1	1284220	414170	1683901
GCF_013267535.1	285880	1259990	2090058
GCF_000877795.1	1838640	713040	2501300
GCF_003691675.1	1383400	64000	2483045
GCF_005280335.1	1324810	2829010	2848891
GCF_009730415.1	118610	1233860	2478263
GCF_009769055.1	1489450	378060	2459530
GCF_009769145.2	51540	1157710	2445333
GCF_013426035.1	2581140	1152520	2597893
GCF_014217235.1	2309590	992870	2527399
GCF_016403245.1	643420	1792650	2539835
GCF_017840535.1	1746210	413820	2437056
GCF_002250745.2	766530	2270190	2823038
GCF_000725405.1	149400	1814700	3029021
GCF_016766835.1	400280	2039080	3072433
GCF_006094695.1	2954420	1044030	3946651
GCF_900637715.1	1451820	3259240	3763037
GCF_900638085.1	1760480	6030	3811253
GCF_016127495.1	2355690	988850	2783568
GCF_016889285.1	2297050	1073630	2448756
GCF_000418345.1	2967790	1329520	2980548
GCF_000597965.1	1114250	2507670	2764699
GCF_000626615.2	2381930	935620	2810186
GCF_000695215.1	2540	1414360	2846320
GCF_000695875.1	20	1439040	2872916
GCF_000746505.1	20	1516790	2955646
GCF_000756205.1	20	1401060	2778854
GCF_000769575.1	2784390	1109000	3046210
GCF_000772025.1	2877270	1445500	2886017
GCF_000815045.1	20	1425090	2872768
GCF_000815085.1	20	1425090	2872779
GCF_000815125.1	20	1425090	2872764
GCF_000815165.1	20	1425090	2872779
GCF_000815205.1	20	1425090	2872781
GCF_000815245.1	20	1425090	2872771
GCF_000953255.1	2625760	1046330	2874302
GCF_000969225.1	2840030	1368590	2849811
GCF_001018645.2	760390	2149890	2800003
GCF_001018655.2	143960	1495680	2697644
GCF_001018685.2	903460	2278250	2811767
GCF_001018725.2	896970	2475860	2873867
GCF_001018735.2	2002200	650480	2697640
GCF_001018775.2	867070	2238360	2764708
GCF_001018805.1	2164310	751650	2799899
GCF_001018835.2	1457980	75730	2834014
GCF_001018845.2	494590	1928460	2881244
GCF_001018915.2	1033700	2422340	2740361
GCF_001018975.2	2252070	785120	2861652
GCF_001019125.2	2131920	749640	2820631
GCF_001019205.2	1277740	2708140	2834575
GCF_001019255.2	9010	1304180	2840018
GCF_001019275.2	742130	2093720	2697122
GCF_001019305.2	870820	2305300	2814696
GCF_001019395.2	576590	2005330	2818312
GCF_001019415.2	2200160	854330	2697471
GCF_001019435.2	537450	2092660	2878504
GCF_001019485.2	1646040	160770	2955890
GCF_001019495.2	1202010	2525050	2878505
GCF_001019535.2	2120510	738400	2819334
GCF_001019575.2	1357200	2728070	2877716
GCF_001021875.1	2885000	1419900	2896143
GCF_001021895.1	20	1379760	2839253
GCF_001027045.1	2540	1350100	2725654
GCF_001027105.1	20	1407290	2755072
GCF_001045795.2	2570	1407530	2840312
GCF_001045995.2	30	1384500	2842022
GCF_001046095.2	30	1421240	2830976
GCF_001183705.3	2027240	522680	2917985
GCF_001183725.2	1369310	2805770	2864345
GCF_001278745.1	2570	1387460	2798705
GCF_001281145.1	2570	1388930	2783537
GCF_001296985.1	2570	1359310	2792802
GCF_001298325.2	2540	1470520	2885865
GCF_001307235.1	1351620	2784980	2846866
GCF_001444345.1	2300890	878960	2803594
GCF_001456215.1	2220	1420110	2709797
GCF_001457495.1	2050	1389100	2797452
GCF_001465635.1	2570	1411390	2777077
GCF_001465675.1	2570	1442010	2769573
GCF_001465755.1	2570	1473480	2894543
GCF_001471715.2	2265920	796740	2907137
GCF_001515665.1	2974350	1515660	2987124
GCF_001515685.1	2984380	1522970	2998480
GCF_001515705.1	2979220	1514930	2988028
GCF_001515745.1	2570	1564410	3046545
GCF_001515765.1	2570	1514850	2976370
GCF_001548295.1	2570	1399960	2775733
GCF_001548415.1	2570	1414450	2860370
GCF_001549655.1	2540	1390200	2770164
GCF_001549675.1	2540	1390200	2770164
GCF_001558795.2	1982280	584820	2801196
GCF_001580495.1	1991730	589780	2815416
GCF_001580515.1	1906320	468250	2898306
GCF_001594205.1	2570	1349920	2664662
GCF_001611325.1	2540	1361910	2679642
GCF_001611345.1	2540	1361350	2678881
GCF_001611365.1	2540	1337900	2749822
GCF_001611385.1	2540	1337890	2749890
GCF_001611405.1	2540	1405990	2726242
GCF_001611425.1	2540	1406500	2726196
GCF_001618305.1	686590	2039810	2786116
GCF_001640885.1	2837350	1390940	2848095
GCF_001640905.1	2570	1474110	2955147
GCF_001640925.1	2570	1479080	2910941
GCF_001641025.1	3076080	1474570	3085555
GCF_001656045.1	2193540	764520	2796894
GCF_001656075.1	145150	1512970	2742807
GCF_001717645.1	2069620	655690	2873063
GCF_001717665.1	1380120	25440	2748803
GCF_001717685.1	1378140	2814630	2873208
GCF_001717705.1	1369310	2805770	2864344
GCF_001717725.1	73810	1534990	2877915
GCF_001717975.2	2051010	632940	2856605
GCF_001725965.1	2570	1484430	2903376
GCF_001735655.2	1370130	2806590	2865166
GCF_001879545.1	2060	1367120	2719261
GCF_001880265.1	2570	1397750	2771849
GCF_001887075.1	1260	1420960	2831848
GCF_001900185.1	2808600	1343910	2819767
GCF_001956755.1	20	1437140	2804759
GCF_001956815.1	2893270	1427570	2904778
GCF_001975005.1	2160	1456400	2900381
GCF_001975045.1	2140	1436870	2835307
GCF_001986135.1	2078590	651150	2809136
GCF_002000565.1	20	1482480	2918010
GCF_002000585.1	20	1482480	2918010
GCF_002000605.1	20	1482480	2918010
GCF_002000625.1	20	1414410	2876325
GCF_002000645.1	20	1482390	2919720
GCF_002000665.1	20	1482630	2919827
GCF_002000685.1	20	1482630	2919910
GCF_002000705.1	20	1482630	2919827
GCF_002000725.1	20	1482630	2919826
GCF_002000745.1	20	1482630	2919827
GCF_002000765.1	20	1482630	2919828
GCF_002000785.1	20	1478110	2915434
GCF_002000805.1	20	1482390	2919720
GCF_002000825.1	20	1478110	2915433
GCF_002000845.1	20	1478110	2915433
GCF_002000865.1	20	1482630	2919910
GCF_002025125.1	2060	1427260	2802697
GCF_002025145.1	2030	1397920	2772993
GCF_002085525.1	2030	1439980	2874399
GCF_002088995.1	2570	1444950	2878854
GCF_002089035.2	2570	1350180	2722374
GCF_002089055.1	2570	1404650	2784749
GCF_002089075.2	2570	1349250	2790096
GCF_002089095.2	2570	1468720	2790204
GCF_002089115.2	2570	1391290	2793232
GCF_002097595.2	3029370	1456900	3038845
GCF_002140115.1	2090	1530780	2798022
GCF_002202075.1	20	1398120	2778859
GCF_002202095.1	20	1398120	2792213
GCF_002204555.1	1060	1422050	2861508
GCF_002204575.1	2370	1422190	2833430
GCF_002209325.1	2060	1367060	2807171
GCF_002214665.1	2030	1386860	2760844
GCF_002310395.1	2580	1445070	2878897
GCF_002355355.1	2885960	1439060	2897106
GCF_002356655.1	2570	1370340	2764435
GCF_002356675.1	2480	1419770	2808921
GCF_002386245.1	2517580	1128360	2769588
GCF_002407105.1	2603530	1121430	3124697
GCF_002442975.1	18370	1438070	2831958
GCF_002633765.1	2060	1361690	2676924
GCF_002633785.1	100	1421020	2857060
GCF_002633805.1	2060	1390120	2786129
GCF_002633825.1	2060	1358030	2748822
GCF_002633845.1	2030	1430840	2758960
GCF_002633865.1	2060	1335140	2730395
GCF_002786465.1	2030	1377170	2848525
GCF_002786535.1	2030	1370520	2762859
GCF_002795285.1	2570	1379110	2811886
GCF_002803885.1	2261680	848250	2763876
GCF_002850395.1	966140	2227370	2729453
GCF_002850415.1	1040360	2515780	2731897
GCF_002895385.1	2798000	1095710	3095697
GCF_002952015.1	1938600	469270	2718638
GCF_003010875.1	2030	1383620	2707649
GCF_003029645.1	500070	1871410	2882275
GCF_003029665.1	2570	1491180	2982183
GCF_003030065.1	856120	2338540	2913744
GCF_003030085.1	1526910	135440	2790673
GCF_003030225.1	1725250	382570	2719423
GCF_003031285.1	327970	1705830	2772690
GCF_003031425.1	2855590	1423980	2855675
GCF_003031465.1	2570	1510890	2989067
GCF_003031485.1	2570	1341710	2745711
GCF_003073395.1	30	1425090	2872769
GCF_003073415.1	20	1425090	2829743
GCF_003073435.1	30	1425090	2872769
GCF_003073635.1	453560	1898480	2786146
GCF_003073655.1	889230	2378890	2911287
GCF_003073715.1	2909430	1421150	2909586
GCF_003073755.1	697710	2124280	2793317
GCF_003073775.1	1338750	2694690	2749935
GCF_003111725.1	2030	1448930	2915384
GCF_003111745.1	2060	1529070	2902681
GCF_003184985.1	2540	1365870	2774523
GCF_003185005.1	2540	1365870	2774523
GCF_003186105.1	2808620	1374530	2808798
GCF_003186125.1	2030	1471510	2844513
GCF_003193665.1	1794210	382130	2834439
GCF_003193685.1	2243340	784500	2872210
GCF_003193705.1	2060	1458460	2878431
GCF_003193725.1	2060	1486680	2921067
GCF_003193745.1	2060	1535840	2963657
GCF_003193765.1	1684380	250140	2785050
GCF_003193785.1	2420280	1008220	2834434
GCF_003193885.1	136560	1628110	2910633
GCF_003193965.1	2835130	1407420	2897877
GCF_003194005.1	600680	2001200	2857253
GCF_003194025.1	2542900	1077850	2910130
GCF_003194065.1	2775820	1468360	2781362
GCF_003194105.1	50	1400540	2807636
GCF_003194145.1	2223140	855810	2788812
GCF_003194165.1	287020	1685220	2773442
GCF_003194185.1	1270500	2696160	2870488
GCF_003194205.1	1686070	318360	2818490
GCF_003194405.1	2570	1379580	2773467
GCF_003203595.1	2701850	1285370	2880689
GCF_003203615.1	2901350	1421200	2911284
GCF_003203635.1	2060	1485180	2867357
GCF_003203655.1	1428790	87940	2692211
GCF_003203675.1	2060	1428740	2828139
GCF_003264775.1	2570	1520380	2958212
GCF_003264815.1	3035250	1477210	3044721
GCF_003288395.1	492660	1897340	2790267
GCF_003330905.1	2060	1506340	2906506
GCF_003342735.1	2540	1413360	2785564
GCF_003342775.1	2540	1383980	2768346
GCF_003343155.1	1310	1393230	2822599
GCF_003347055.1	2030	1338440	2731682
GCF_003350605.1	3064660	1402600	3074078
GCF_003351925.1	2060	1485650	2905353
GCF_003354545.1	2060	1432490	2814328
GCF_003354565.1	2890380	1290320	2913163
GCF_003354585.1	2888690	1287180	2913334
GCF_003354605.1	2060	1436160	2824814
GCF_003354625.1	100	1429230	2813963
GCF_003354645.1	2060	1436190	2824816
GCF_003354665.1	2030	1421140	2892907
GCF_003354685.1	100	1425600	2805047
GCF_003354705.1	2060	1592330	2911744
GCF_003354725.1	100	1432150	2813908
GCF_003354745.1	100	1429230	2813964
GCF_003354765.1	2060	1592330	2911744
GCF_003354785.1	100	1423590	2806113
GCF_003354805.1	2030	1351560	2768276
GCF_003354865.1	2030	1363720	2730989
GCF_003354885.1	2795960	1373770	2807646
GCF_003354905.1	2060	1432400	2814270
GCF_003354925.1	2030	1363720	2730989
GCF_003354945.1	2030	1464880	2935463
GCF_003354965.1	2030	1421150	2892914
GCF_003354985.1	2060	1591650	2911773
GCF_003394105.1	1555450	93360	2914635
GCF_003425545.1	2030	1476780	2875880
GCF_003425835.1	2811880	1358200	2823570
GCF_003425885.1	2811880	1358200	2823570
GCF_003425915.1	2030	1476780	2875880
GCF_003426145.1	2030	1544460	2846583
GCF_003431365.1	2060	1424360	2782740
GCF_003432345.1	2830270	1392240	2839540
GCF_003432365.1	2846590	1412610	2855865
GCF_003490125.1	1280	1390100	2772340
GCF_003573835.1	2570	1418710	2864283
GCF_003573855.1	2540	1385310	2733771
GCF_003595365.1	2893450	1427750	2904958
GCF_003595385.1	2893450	1427750	2904958
GCF_003595405.1	20	1482380	2919706
GCF_003595425.1	20	1482480	2918010
GCF_003595445.1	20	1482480	2918010
GCF_003595465.1	20	1482390	2919719
GCF_003595485.1	20	1457760	2919670
GCF_003595505.1	20	1482480	2918010
GCF_003609855.1	2570	1370820	2729352
GCF_003609895.1	2600	1482400	2809401
GCF_003609915.1	2600	1482790	2809565
GCF_003627835.1	2580	1420650	2778005
GCF_003798185.1	2212210	793460	2789499
GCF_003827915.1	2349820	884670	2894587
GCF_003855575.1	100	1390360	2732619
GCF_003944865.1	100	1373570	2714208
GCF_003945405.1	1523190	840	2963259
GCF_003945425.1	1377420	3038910	3066291
GCF_003952625.1	1411920	2610	2876590
GCF_003955945.1	2580	1469410	2864632
GCF_003957315.1	2140950	768190	2775972
GCF_003991015.1	684560	2078180	2761011
GCF_004001345.1	2030	1328600	2730514
GCF_004026165.1	2301960	835930	2796411
GCF_004026185.1	1580090	255370	2756431
GCF_004118995.1	2109530	695570	2875046
GCF_004119935.1	2060	1555930	2858674
GCF_004136235.1	2784490	1392360	2786527
GCF_004136255.1	3040030	1464910	3050015
GCF_004136655.1	2841040	1411890	2850509
GCF_004153365.1	1597110	214140	2841049
GCF_004193875.1	2570	1407430	2795888
GCF_004193895.1	2570	1413720	2757748
GCF_004208595.1	2065770	645970	2820177
GCF_004421085.1	100	1426000	2860082
GCF_004614295.1	2570	1375670	2832897
GCF_004614315.1	2570	1586590	2955000
GCF_004771335.1	20	1417320	2764228
GCF_004771515.1	1280	1386200	2768115
GCF_004771975.1	2580	1420700	2778443
GCF_004772055.1	2570	1370520	2695389
GCF_004772175.1	2580	1456170	2794042
GCF_004772215.1	2580	1451930	2841948
GCF_004785995.1	2570	1416870	2909934
GCF_004797195.1	2550	1419230	2761328
GCF_005153305.1	2695020	1333450	2736781
GCF_005153985.1	2746480	1416290	2755373
GCF_005705635.1	2150	1338010	2830137
GCF_005705815.1	6300	1296850	2782298
GCF_005706035.1	2794310	1341400	2970728
GCF_005706855.1	23630	1375430	2831239
GCF_005707015.1	6300	1353450	2866643
GCF_005707215.1	4240	1317120	2769144
GCF_005707335.1	1010	1359180	2747225
GCF_005885975.1	2030	1384280	2820086
GCF_005889995.1	2858810	1371180	2870494
GCF_005890015.1	2936740	1469550	2936830
GCF_005890035.1	2060	1422110	2820181
GCF_005931015.2	2060	1386660	2758447
GCF_005931035.2	1993900	626470	2783012
GCF_005931055.2	2422040	1072900	2801264
GCF_005954685.1	2060	1422110	2820181
GCF_006088835.1	2060	1498200	2978977
GCF_006094915.1	2030	1406750	2755072
GCF_006158985.1	2783600	1410300	2796973
GCF_006364675.1	1717900	337810	2755072
GCF_006364775.1	2534730	1102930	2964112
GCF_007185035.1	2160	1496500	2905582
GCF_007410625.1	2938130	1470940	2938218
GCF_007726325.1	2810650	1540870	2819586
GCF_007726465.1	912620	2317710	2780737
GCF_007726495.1	241360	1633610	2806828
GCF_007726525.1	87710	1437960	2781709
GCF_007726545.1	574780	1967370	2807514
GCF_007726565.1	827580	2238560	2840146
GCF_007813675.1	2080	1402280	2737143
GCF_007826355.1	2746880	1413440	2752396
GCF_007827105.1	677930	2089610	2745835
GCF_007827115.1	686770	2041670	2703684
GCF_007827125.1	47730	1439150	2747092
GCF_007954445.1	2030	1419930	2832989
GCF_007954465.1	2030	1419930	2832989
GCF_007998145.1	2230	1495130	2873786
GCF_008244705.1	2030	1444610	2879031
GCF_008244725.1	2030	1444610	2879031
GCF_008244745.1	2632980	1051180	2879031
GCF_008329865.1	2030	1409880	2866342
GCF_008329885.1	2866270	1434530	2866354
GCF_008330045.1	2600	1452400	2857169
GCF_008330585.1	2060	1365310	2749000
GCF_008370795.1	2165390	689170	2915632
GCF_008370815.1	1074430	2398100	2940576
GCF_008462245.1	2060	1556040	2876350
GCF_008619075.1	2142240	693780	2914567
GCF_008619235.1	2040250	626920	2804820
GCF_008619415.1	2055170	654260	2825163
GCF_008619595.1	1997830	603380	2761631
GCF_008619795.1	2004530	608900	2751401
GCF_008619935.1	2052380	652690	2822409
GCF_008620055.1	2316020	701710	2939465
GCF_008620175.1	2095000	700190	2876735
GCF_008630675.1	89910	1421450	2672245
GCF_008630695.1	2690	1406180	2726530
GCF_008630715.1	600	1398250	2792580
GCF_008630735.1	87760	1421470	2672254
GCF_008630755.1	2769960	1338620	2778329
GCF_008630775.1	1494300	140350	2735454
GCF_008630795.1	2930	1372390	2809532
GCF_008630815.1	89920	1421480	2672282
GCF_008630835.1	2690	1363120	2778348
GCF_008630855.1	1114360	2507830	2764963
GCF_008630875.1	2700	1391550	2848409
GCF_008693765.1	2275110	853390	2848032
GCF_008694145.1	689360	2040460	2787596
GCF_008694165.1	2700	1406200	2726612
GCF_009176765.1	2935410	1403880	2945245
GCF_009176785.1	2953310	1402930	2963149
GCF_009176875.1	2951330	1409190	2961166
GCF_009259725.1	21620	1473400	2765700
GCF_009497915.1	2570	1314350	2744906
GCF_009497955.1	2810030	1320430	2821185
GCF_009650155.1	2006700	612320	2727720
GCF_009684655.1	1563040	142010	2822516
GCF_009728755.1	2570	1436190	2895361
GCF_009728775.1	2570	1436170	2853520
GCF_009731595.1	2160	1428700	2766239
GCF_009739675.1	2140	1419270	2865912
GCF_009739695.1	2140	1419270	2865917
GCF_009739715.1	2140	1419270	2864392
GCF_009739735.1	2700	1372950	2818171
GCF_009739755.1	2700	1372950	2818364
GCF_009739775.1	2700	1372740	2818358
GCF_009739795.1	430	1373150	2818363
GCF_009739825.1	2700	1372950	2818364
GCF_009739845.1	2700	1372950	2818364
